"Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.049283,1,0.15133,0.15133,0.15,0
-0.049283,1,0.15167,0.15167,0.15,0
-0.049283,1,0.152,0.152,0.15,0
-0.049283,1,0.15233,0.15233,0.15,0
-0.049283,1,0.15267,0.15267,0.15,0
-0.049283,1,0.153,0.153,0.15,0
-0.049283,1,0.15333,0.15333,0.15,0
-0.049283,1,0.15367,0.15367,0.15,0
-0.049283,1,0.154,0.154,0.15,0
-0.049283,1,0.15433,0.15433,0.15,0
-0.049283,1,0.15467,0.15467,0.15,0
-0.049283,1,0.155,0.155,0.15,0
-0.049283,1,0.15533,0.15533,0.15,0
-0.049283,1,0.15567,0.15567,0.15,0
-0.049283,1,0.156,0.156,0.15,0
-0.049283,1,0.15633,0.15633,0.15,0
-0.049283,1,0.15667,0.15667,0.15,0
-0.049283,1,0.157,0.157,0.15,0
-0.049283,1,0.15733,0.15733,0.15,0
-0.049283,1,0.15767,0.15767,0.15,0
-0.049283,1,0.158,0.158,0.15,0
-0.049283,1,0.15833,0.15833,0.15,0
-0.049283,1,0.15867,0.15867,0.15,0
-0.049283,1,0.159,0.159,0.15,0
-0.049283,1,0.15933,0.15933,0.15,0
-0.049283,1,0.15967,0.15967,0.15,0
-0.049283,1,0.16,0.16,0.15,0
-0.049283,1,0.16033,0.16033,0.15,0
-0.049283,1,0.16067,0.16067,0.15,0
-0.049283,1,0.161,0.161,0.15,0
-0.049283,1,0.16133,0.16133,0.15,0
-0.049283,1,0.16167,0.16167,0.15,0
-0.049283,1,0.162,0.162,0.15,0
-0.049283,1,0.16233,0.16233,0.15,0
-0.049283,1,0.16267,0.16267,0.15,0
-0.049283,1,0.163,0.163,0.15,0
-0.049283,1,0.16333,0.16333,0.15,0
-0.049283,1,0.16367,0.16367,0.15,0
-0.049283,1,0.164,0.164,0.15,0
-0.049283,1,0.16433,0.16433,0.15,0
-0.049283,1,0.16467,0.16467,0.15,0
-0.049283,1,0.165,0.165,0.15,0
